;Species;order;FemaleMeanMass;MaleMeanMass;CMR;ICM;lifeexp;Sample;Deaths;Neoplasia;knownDeaths;Animal;Vertebrate;Invertebrate;Fish;Herptile;Bird;Mammal;Adult_life_expectancy;body mass
1;Acinonyx_jubatus;Carnivora;39.90616846;45.19397582;0.035555556;0.041554932;3533.859621;1560;649;8;225;1;1;0;0;0;0;1;3533.86;42.55
2;Addax_nasomaculatus;Artiodactyla;102.2811059;118.9850074;0.035714286;0.061624106;3127.886214;762;336;3;84;0;0;0;0;0;0;0;3127.89;110.63
3;Aepyceros_melampus;Artiodactyla;42.37384399;53.92568579;0.057324841;0.141181814;2465.892908;1007;537;9;157;0;0;0;0;0;0;0;2465.89;48.15
4;Ailurus_fulgens;Carnivora;5.921638634;6.029143405;0.070707071;0.0733606;3580.261306;1068;421;7;99;0;0;0;0;0;0;0;3580.26;5.98
5;Alces_alces;Artiodactyla;292.7923544;397.0254275;0;0;2103.783182;246;147;0;33;0;0;0;0;0;0;0;2103.78;344.91
6;Alouatta_caraya;Primates;7.044520236;10.70241829;0.2;NA;5868.083416;278;78;5;25;0;0;0;0;0;0;0;5868.08;8.87
7;Ammotragus_lervia;Artiodactyla;55.43581862;79.43438473;0.040322581;0.085277433;3157.154332;1298;589;5;124;0;0;0;0;0;0;0;3157.15;67.44
8;Antidorcas_marsupialis;Artiodactyla;28.95491576;30.74695567;0.006024096;0.005448208;1728.057173;654;400;1;166;0;0;0;0;0;0;0;1728.06;29.85
9;Antilocapra_americana;Artiodactyla;41.01300711;45.81128772;0.03125;0.03792695;2057.879228;176;99;1;32;0;0;0;0;0;0;0;2057.88;43.41
10;Antilope_cervicapra;Artiodactyla;28.15720725;33.9162497;0;0;2307.016369;1886;981;0;196;0;0;0;0;0;0;0;2307.02;31.04
11;Aonyx_cinerea;Carnivora;3.250784695;3.358575185;0.06097561;0.089950586;3242.647585;1267;595;10;164;1;1;1;0;1;0;0;3242.65;3.3
12;Arctictis_binturong;Carnivora;17.83233269;16.57931963;0.148148148;0.18701814;5238.720984;291;97;4;27;1;1;0;1;0;1;0;5238.72;17.21
13;Ateles_fusciceps;Primates;9.215154769;9.174087855;0.095238095;NA;8212.161864;289;67;2;21;0;0;0;0;0;0;0;8212.16;9.19
14;Ateles_geoffroyi;Primates;7.942456263;7.884530962;0.142857143;0.190286811;8757.299357;273;71;4;28;0;0;0;0;0;0;0;8757.3;7.91
15;Axis_axis;Artiodactyla;47.71138101;70.5658796;0.081081081;0.070912549;3332.785912;819;332;6;74;0;0;0;0;0;0;0;3332.79;59.14
16;Axis_porcinus;Artiodactyla;30.61580645;42.07606;0.034482759;0.026661639;3381.522899;361;131;1;29;0;0;0;0;0;0;0;3381.52;36.35
17;Bettongia_penicillata;Diprotodontia;1.061464967;1.066162181;0;0;2808.610615;280;127;0;21;0;0;0;0;0;0;0;2808.61;1.06
18;Bison_bison;Artiodactyla;486.8670858;777.2410321;0.054794521;0.052497735;4678.868344;985;314;4;73;0;0;0;0;0;0;0;4678.87;632.05
19;Bison_bonasus;Artiodactyla;351.8205128;627.5866667;0.040816327;0.044552122;4130.215836;497;209;2;49;0;0;0;0;0;0;0;4130.22;489.7
20;Boselaphus_tragocamelus;Artiodactyla;177.5877419;229.7649936;0.05;0.049465837;3532.204669;444;191;2;40;0;0;0;0;0;0;0;3532.2;203.68
21;Budorcas_taxicolor;Artiodactyla;234.8435227;342.2222718;0.035714286;0.006254346;4042.379131;399;128;1;28;0;0;0;0;0;0;0;4042.38;288.53
22;Callimico_goeldii;Primates;0.571607038;0.5552472;0.06741573;0.182495731;3343.53724;760;395;6;89;1;1;1;0;0;0;0;3343.54;0.56
23;Callithrix_geoffroyi;Primates;0.484275969;0.441633217;0.019607843;0.013915598;2387.153122;725;409;2;102;1;1;1;0;1;0;0;2387.15;0.46
24;Callithrix_jacchus;Primates;0.39223905;0.371186544;0.024590164;0.013273727;2542.331035;1001;546;3;122;1;1;1;0;1;0;0;2542.33;0.38
25;Callosciurus_prevostii;Rodentia;0.485226854;0.484492998;0.066666667;0.084352151;2386.654656;258;160;3;45;0;0;0;0;0;0;0;2386.65;0.48
26;Canis_rufus;Carnivora;23.43133707;27.43968466;0.258064516;0.327317479;3223.189266;194;95;8;31;1;1;0;0;0;0;1;3223.19;25.44
27;Capra_caucasica;Artiodactyla;47.72292946;83.33037324;0;0;2178.043462;384;222;0;58;0;0;0;0;0;0;0;2178.04;65.53
28;Capra_falconeri;Artiodactyla;34.76924998;60.80248733;0.01369863;0.115653846;2226.846276;581;304;1;73;0;0;0;0;0;0;0;2226.85;47.79
29;Capra_ibex;Artiodactyla;37.3595122;73.96192661;0;0;2727.221491;366;201;0;42;0;0;0;0;0;0;0;2727.22;55.66
30;Capra_nubiana;Artiodactyla;28.07958083;53.72178125;0.041666667;0.02914566;2301.501241;424;228;2;48;0;0;0;0;0;0;0;2301.5;40.9
31;Caracal_caracal;Carnivora;10.51050694;13.77237052;0.095238095;0.134464693;3492.117369;196;83;2;21;1;1;0;0;0;1;1;3492.12;12.14
